Player/Team,Type,GRD,PTS,REB,AST,STL,BLK,FOULS,TO,FGM,FGA,3PM,3PA,FTM,FTA,Game_ID,Team Name,Win,Season,OREB,DREB,MIN,Q1,Q2,Q3,Q4
Gxldnn,player,B,13,3,1,4,1,2,1,6,11,1,5,0,0,117,Not Average Hoops,,1,,,,,,,
HitmanLavine,player,B,4,5,2,0,2,1,1,1,4,0,1,2,2,117,Not Average Hoops,,1,,,,,,,
JoeeSwavey,player,C+,6,5,1,0,1,0,2,3,9,0,1,0,0,117,Not Average Hoops,,1,,,,,,,
TOTAL,total,B+,77,18,18,5,4,6,7,30,51,13,24,4,5,117,Not Average Hoops,,1,,,,,,,
OIAMSMITCH,player,A-,30,0,9,0,0,1,3,14,20,1,3,1,1,117,One In A Million,,1,,,,,,,
OIAMTHEGREAT,player,B+,21,0,1,1,0,2,0,8,11,3,4,2,2,117,One In A Million,,1,,,,,,,
OiAMSQMOKI,player,C+,4,0,1,0,0,3,0,2,6,0,1,0,0,117,One In A Million,,1,,,,,,,
WhiteWolfBB,player,B-,5,6,1,2,3,2,2,2,3,1,1,0,0,117,One In A Million,,1,,,,,,,
OiAMTIMMAAY,player,A-,9,11,4,1,3,0,0,4,7,0,1,1,2,117,One In A Million,,1,,,,,,,
TOTAL,total,B,69,17,15,5,6,8,5,30,47,5,10,4,5,117,One In A Million,,1,,,,,,,
Gxldnn,Player,A,17,0,2,4,0,0,1,7,8,3,4,0,0,118,Not Average Hoops,1,1,,,,,,,
HitmanKeedy,Player,A,25,1,10,0,0,0,3,9,13,7,10,0,0,118,Not Average Hoops,1,1,,,,,,,
NY GRABBA,Player,A-,23,3,3,2,0,0,2,10,13,3,5,0,0,118,Not Average Hoops,1,1,,,,,,,
Gxldnn,Player,A,17,0,3,4,0,0,1,7,8,3,4,0,0,118,Not Average Hoops,1,1,,,,,,,
HitmanLevine,Player,A-,11,1,4,0,0,0,0,4,4,3,3,0,0,118,Not Average Hoops,1,1,,,,,,,
JoeeSwavey,Player,A,7,15,6,0,1,0,1,3,5,1,3,0,0,118,Not Average Hoops,1,1,,,,,,,
TOTAL,Team Total,A-,83,20,26,6,1,0,7,33,43,17,25,0,0,118,Not Average Hoops,1,1,,,,,,,
Abu Fizzy,Player,A-,17,1,6,1,0,1,1,6,13,5,11,0,0,118,Shiesty U,0,1,,,,,,,
ISO864xRAW,Player,C+,11,1,6,2,0,1,2,4,13,3,9,0,0,118,Shiesty U,0,1,,,,,,,
RipXChucky,Player,A-,23,0,0,2,0,0,0,9,13,5,7,0,0,118,Shiesty U,0,1,,,,,,,
VAheavyhitter62,Player,B,14,0,2,2,0,2,2,5,7,4,5,0,0,118,Shiesty U,0,1,,,,,,,
BigRedDMD,Player,B+,3,10,5,0,0,0,2,1,1,1,1,0,0,118,Shiesty U,0,1,,,,,,,
TOTAL,Team Total,B,68,12,19,7,0,4,7,25,47,18,33,0,0,118,Shiesty U,0,1,,,,,,,
FadedMacBH4L,Player,A-,36,0,7,0,0,2,4,13,20,8,12,2,2,119,All Inclusive,1,1,,,,,,,
Void hoops,Player,A,30,0,3,3,0,0,0,11,14,6,7,2,2,119,All Inclusive,1,1,,,,,,,
BIGMAD HOOPS,Player,B-,9,0,3,0,0,3,0,3,5,3,3,0,0,119,All Inclusive,1,1,,,,,,,
jalen19yktv,Player,C+,4,4,2,0,0,1,0,2,3,0,0,0,0,119,All Inclusive,1,1,,,,,,,
Duckysteak123,Player,A-,6,13,9,0,1,1,2,3,7,0,3,0,0,119,All Inclusive,1,1,,,,,,,
TOTAL,Total,B+,85,17,24,6,1,6,6,32,49,17,25,4,4,119,All Inclusive,1,1,,,,,,,
Domo2-6*,Player,A+,17,5,15,1,0,2,0,8,14,0,1,1,1,119,Unhinged,0,1,,,,,,,
NTNF_Gaming*,Player,B+,12,0,3,1,0,3,1,4,9,4,9,0,0,119,Unhinged,0,1,,,,,,,
