Player/Team,Type,GRD,PTS,REB,AST,STL,BLK,FOULS,TO,FGM,FGA,3PM,3PA,FTM,FTA,Game_ID,Team Name,Win,Season,OREB,DREB,MIN,Q1,Q2,Q3,Q4 
ZeusKryptoTV,Player,B+,10,1,6,0,0,0,3,4,9,2,7,0,0,436,Shiesty U,0,4,,,,,,,
ISO864xRAW,Player,A-,25,0,3,0,0,1,1,9,12,2,3,5,5,436,Shiesty U,0,4,,,,,,,
BluHawk92,Player,A-,21,1,3,3,0,1,2,8,10,5,5,0,0,436,Shiesty U,0,4,,,,,,,
llTycoonll,Player,B,4,4,2,0,1,0,0,2,2,0,0,0,0,436,Shiesty U,0,4,,,,,,,
KingSimbaTV,Player,B+,9,7,4,0,0,1,0,4,7,1,3,0,0,436,Shiesty U,0,4,,,,,,,
TOTAL,Team,B+,69,13,18,3,1,3,6,27,40,10,18,5,5,436,Shiesty U,0,4,,,,,,,
ClipsNYCTTV,Player,A,11,0,10,1,0,1,0,4,9,2,6,1,1,437,Beat The Odds,1,4,,,,,,,
Ice Near,Player,B+,17,0,0,3,0,1,1,4,10,3,7,6,6,437,Beat The Odds,1,4,,,,,,,
Crunch tuff,Player,A-,20,0,2,2,0,4,0,8,10,4,5,0,0,437,Beat The Odds,1,4,,,,,,,
Sensei_Kevvv,Player,B,2,12,2,4,1,1,5,1,5,0,2,0,0,437,Beat The Odds,1,4,,,,,,,
Paint-Defender,Player,A+,32,15,10,3,0,0,2,13,15,2,3,4,5,437,Beat The Odds,1,4,,,,,,,
TOTAL,Team,A-,82,27,24,13,1,7,8,30,49,11,23,11,12,437,Beat The Odds,1,4,,,,,,,
ZeusKryptoTV,Player,D+,19,2,3,0,0,3,8,6,10,2,5,5,5,437,Shiesty U,0,4,,,,,,,
ISO864xRAW,Player,B-,16,0,3,0,0,3,2,7,17,2,8,0,0,437,Shiesty U,0,4,,,,,,,
BluHawk92,Player,C+,6,0,3,1,0,4,2,3,6,0,2,0,0,437,Shiesty U,0,4,,,,,,,
RipXChucky,Player,B,3,3,3,2,1,1,0,1,4,1,2,0,0,437,Shiesty U,0,4,,,,,,,
KingSimbaTV,Player,B+,7,10,4,1,0,0,1,3,6,1,2,0,0,437,Shiesty U,0,4,,,,,,,
TOTAL,Team,B-,51,15,16,4,1,11,13,20,43,6,19,5,5,437,Shiesty U,0,4,,,,,,,
CamSPM,Player,A,21,0,7,4,0,1,0,9,16,3,9,0,0,438,Krashout,1,4,,,,,,,
IIVeno,Player,A-,21,0,4,1,0,0,2,8,9,3,3,2,2,438,Krashout,1,4,,,,,,,
Trifecta,Player,A-,20,0,3,3,0,5,0,9,12,2,3,0,0,438,Krashout,1,4,,,,,,,
Fr Fella,Player,B+,6,4,3,2,0,3,0,3,6,0,3,0,0,438,Krashout,1,4,,,,,,,
II WHEEL II,Player,A,10,13,9,1,0,2,1,4,7,0,3,2,2,438,Krashout,1,4,,,,,,,
TOTAL,Team,A-,78,17,26,11,0,11,3,33,50,8,21,4,4,438,Krashout,1,4,,,,,,,
Hostile,Player,A-,31,0,11,3,0,0,7,10,16,4,8,7,7,438,Low Ego,0,4,,,,,,,
Hoggyy2k,Player,B+,11,0,3,0,0,0,1,4,5,3,4,0,0,438,Low Ego,0,4,,,,,,,
Antywxn,Player,C+,6,0,0,0,0,1,0,2,4,2,4,0,0,438,Low Ego,0,4,,,,,,,
iDontSwing,Player,C+,3,3,1,0,0,1,0,1,4,0,3,1,1,438,Low Ego,0,4,,,,,,,
Temponeal,Player,A-,21,9,2,0,0,3,3,8,8,5,5,0,0,438,Low Ego,0,4,,,,,,,
TOTAL,Team,B,72,12,17,3,0,5,11,25,37,14,24,8,8,438,Low Ego,0,4,,,,,,,
CamSPM,Player,A,15,0,14,3,0,1,0,6,9,3,4,0,0,439,Krashout,1,4,,,,,,,
IIVeno,Player,B+,19,0,1,2,0,1,4,7,9,5,6,0,0,439,Krashout,1,4,,,,,,,
Trifecta,Player,A-,24,1,2,3,0,5,2,9,12,6,9,0,0,439,Krashout,1,4,,,,,,,
Fr Fella,Player,A,18,7,5,3,1,3,0,7,8,4,4,0,0,439,Krashout,1,4,,,,,,,
II WHEEL II,Player,A,21,8,8,0,0,1,1,8,10,3,5,2,2,439,Krashout,1,4,,,,,,,
TOTAL,Team,A-,97,16,30,11,1,11,7,37,48,21,28,2,2,439,Krashout,1,4,,,,,,,
Hostile,Player,A,30,0,7,1,0,0,3,8,13,6,10,8,8,439,Low Ego,0,4,,,,,,,
Hoggyy2k,Player,C+,5,0,4,0,0,1,1,2,7,1,3,0,0,439,Low Ego,0,4,,,,,,,
Antywxn,Player,B,18,1,1,2,0,0,4,6,6,5,5,1,2,439,Low Ego,0,4,,,,,,,
iDontSwing,Player,C,7,0,1,1,0,1,1,3,4,1,2,0,0,439,Low Ego,0,4,,,,,,,
Temponeal,Player,B-,10,8,3,1,0,2,4,4,6,0,2,2,2,439,Low Ego,0,4,,,,,,,
TOTAL,Team,B-,70,9,16,5,0,4,13,23,36,13,22,11,12,439,Low Ego,0,4,,,,,,,
l CheddR l,Player,B-,9,0,2,0,0,0,2,3,11,3,9,0,0,440,Peak Pressure,0,4,,,,,,,
Fen,Player,A+,34,1,9,2,0,1,2,12,18,10,15,0,0,440,Peak Pressure,0,4,,,,,,,
Niyner,Player,B,16,1,1,1,0,4,0,6,11,4,5,0,0,440,Peak Pressure,0,4,,,,,,,
KingPlamer,Player,C+,2,4,3,0,1,2,1,1,2,0,1,0,0,440,Peak Pressure,0,4,,,,,,,
xSnagiana,Player,A,20,10,5,0,0,0,1,8,9,1,1,3,3,440,Peak Pressure,0,4,,,,,,,
TOTAL,Team,B+,81,16,20,3,1,7,6,30,51,18,31,3,3,440,Peak Pressure,0,4,,,,,,,
PROxM0NT,Player,A+,34,1,10,1,0,0,1,12,19,10,15,0,0,440,Worst Nightmare,1,4,,,,,,,
Ease Up 5,Player,A,33,0,7,1,0,0,0,11,16,11,14,0,0,440,Worst Nightmare,1,4,,,,,,,
llCert,Player,B+,8,0,2,3,0,3,0,3,4,2,3,0,0,440,Worst Nightmare,1,4,,,,,,,
Stacc It,Player,B+,21,4,0,0,0,1,0,8,8,5,5,0,0,440,Worst Nightmare,1,4,,,,,,,
llGeeLockedll,Player,A-,8,11,9,1,0,2,2,3,3,0,0,2,2,440,Worst Nightmare,1,4,,,,,,,
TOTAL,Team,A-,104,16,28,6,0,6,3,37,50,28,37,2,2,440,Worst Nightmare,1,4,,,,,,,
IIAsapII,Player,B+,17,0,8,1,0,0,6,4,5,2,2,7,8,441,Humble,0,4,,,,,,,
IIGinolI,Player,A-,21,0,4,0,0,2,1,8,13,5,8,0,0,441,Humble,0,4,,,,,,,
IGLiiZYI,Player,C+,12,0,2,0,0,1,2,5,7,2,4,0,0,441,Humble,0,4,,,,,,,
Prevhoked,Player,C+,8,2,1,0,0,1,2,3,6,2,4,0,0,441,Humble,0,4,,,,,,,
X_KNXWN,Player,B,9,6,7,0,0,1,1,4,4,1,1,0,0,441,Humble,0,4,,,,,,,
Humble,Team,B,67,8,22,1,0,5,12,24,35,12,19,7,8,441,Humble,0,4,,,,,,,
CamSPM,Player,A,29,0,10,0,0,0,0,12,18,5,8,0,0,441,Krashout,1,4,,,,,,,
MyOllies,Player,B+,12,0,0,2,0,1,0,5,9,2,5,0,0,441,Krashout,1,4,,,,,,,
Trifecta,Player,B+,20,1,0,4,0,5,0,8,10,4,5,0,0,441,Krashout,1,4,,,,,,,
Fr Fella,Player,A,18,4,4,4,1,2,1,7,8,4,5,0,0,441,Krashout,1,4,,,,,,,
II WHEEL II,Player,A,16,14,8,1,1,1,1,7,10,2,4,0,0,441,Krashout,1,4,,,,,,,
Krashout,Team,A-,95,19,22,11,2,8,2,39,55,17,27,0,0,441,Krashout,1,4,,,,,,,
IIAsapII,Player,A,7,1,16,0,0,0,2,3,7,1,4,0,0,442,Humble,0,4,,,,,,,
IIGinolI,Player,B+,22,1,2,0,0,0,2,8,14,4,7,2,2,442,Humble,0,4,,,,,,,
IGLiiZYI,Player,A-,22,3,1,1,0,0,0,8,11,6,8,0,0,442,Humble,0,4,,,,,,,
Prevhoked,Player,C,6,3,2,0,1,0,1,2,8,2,6,0,0,442,Humble,0,4,,,,,,,
X_KNXWN,Player,B+,14,6,1,1,0,1,1,5,8,4,6,0,0,442,Humble,0,4,,,,,,,
Humble,Team,B+,71,14,22,2,1,1,6,26,48,17,31,2,2,442,Humble,0,4,,,,,,,
CamSPM,Player,A-,31,5,7,2,0,3,1,13,19,5,7,0,0,442,Krashout,1,4,,,,,,,
MyOllies,Player,A-,22,0,1,2,0,1,0,8,12,6,10,0,0,442,Krashout,1,4,,,,,,,
Trifecta,Player,A-,20,1,2,0,0,3,0,8,10,4,5,0,0,442,Krashout,1,4,,,,,,,
Fr Fella,Player,B-,2,4,6,1,1,0,1,1,3,0,1,0,0,442,Krashout,1,4,,,,,,,
II WHEEL II,Player,A,15,11,4,0,0,0,0,7,8,1,2,0,0,442,Krashout,1,4,,,,,,,
Krashout,Team,A-,90,21,20,5,1,7,2,37,52,16,25,0,0,442,Krashout,1,4,,,,,,,
CamSPM,Player,A-,21,0,13,1,0,0,1,8,14,5,9,0,0,443,Krashout,1,4,,,,,,,
MyOllies,Player,B-,5,0,2,0,0,0,1,2,4,1,2,0,0,443,Krashout,1,4,,,,,,,
Trifecta,Player,B+,15,0,1,1,0,2,0,6,10,3,5,0,0,443,Krashout,1,4,,,,,,,
Fr Fella,Player,B+,7,5,2,0,0,2,2,3,3,1,1,0,0,443,Krashout,1,4,,,,,,,
II WHEEL II,Player,A-,18,12,4,1,0,2,1,9,12,0,1,0,0,443,Krashout,1,4,,,,,,,
Krashout,Team,B+,66,17,22,3,0,5,5,28,43,10,18,0,0,443,Krashout,1,4,,,,,,,
xPHILLYi,Player,,0,0,0,0,0,0,0,0,0,0,0,0,0,443,Prodigy Prep,0,4,,,,,,,
ill Demenor,Player,A+,24,2,11,2,0,0,2,9,16,6,11,0,0,443,Prodigy Prep,0,4,,,,,,,
IKelseyPlum,Player,A-,18,0,2,1,0,1,0,8,13,2,6,0,0,443,Prodigy Prep,0,4,,,,,,,
IIZoeII,Player,B-,10,1,0,0,1,2,0,4,5,2,3,0,0,443,Prodigy Prep,0,4,,,,,,,
x5Ivee,Player,C+,5,1,0,1,0,0,0,2,4,1,3,0,0,443,Prodigy Prep,0,4,,,,,,,
PROxJAG,Player,B+,6,9,5,0,1,0,1,3,4,0,0,0,0,443,Prodigy Prep,0,4,,,,,,,
Prodigy Prep,Team,B+,63,13,18,4,2,3,4,26,42,11,23,0,0,443,Prodigy Prep,0,4,,,,,,,
CamSPM,Player,A,35,1,5,0,0,0,1,12,13,6,6,5,5,444,Krashout,1,4,,,,,,,
MyOllies,Player,B+,6,0,1,2,0,0,0,2,6,2,5,0,0,444,Krashout,1,4,,,,,,,
Trifecta,Player,A-,13,0,1,4,0,1,0,6,10,1,2,0,0,444,Krashout,1,4,,,,,,,
Fr Fella,Player,C,7,2,2,1,1,3,2,3,5,1,2,0,0,444,Krashout,1,4,,,,,,,
II WHEEL II,Player,A-,16,9,3,0,0,1,1,7,9,2,3,0,0,444,Krashout,1,4,,,,,,,
TOTAL,Team,B+,77,12,12,7,1,5,4,30,43,12,18,5,5,444,Krashout,1,4,,,,,,,
ill Demenor,Player,B-,23,1,3,0,0,2,6,7,13,7,13,2,2,444,Prodigy Prep,0,4,,,,,,,
lKelseyPlum,Player,A-,16,0,7,1,0,2,1,7,8,2,3,0,0,444,Prodigy Prep,0,4,,,,,,,
IIZoeII,Player,C+,13,0,0,2,0,3,0,5,6,3,4,0,0,444,Prodigy Prep,0,4,,,,,,,
x5Ivee,Player,C+,5,1,1,1,0,0,1,2,2,1,1,0,0,444,Prodigy Prep,0,4,,,,,,,
PROxJAG,Player,B+,10,8,5,0,0,1,0,5,8,0,1,0,0,444,Prodigy Prep,0,4,,,,,,,
TOTAL,Team,B,67,10,16,4,0,8,10,26,37,13,22,2,2,444,Prodigy Prep,0,4,,,,,,,
ImClem4Real,Player,B+,19,0,4,0,0,0,4,6,9,6,8,1,1,445,Flourish,0,4,,,,,,,
xzDOPExz,Player,B-,10,0,0,2,0,3,0,4,6,2,3,0,0,445,Flourish,0,4,,,,,,,
JMDHeisman,Player,A,24,1,6,1,0,0,3,9,12,4,6,2,2,445,Flourish,0,4,,,,,,,
TGF4021,Player,B+,17,3,6,1,0,1,5,5,9,5,8,2,2,445,Flourish,0,4,,,,,,,
JJGotTheJuice,Player,B-,4,5,5,3,0,0,4,2,5,0,1,0,0,445,Flourish,0,4,,,,,,,
TOTAL,Team,B+,74,9,21,7,0,4,16,26,41,17,26,5,5,445,Flourish,0,4,,,,,,,
xLifeofVo,Player,A-,27,2,6,4,0,1,5,9,12,6,8,3,3,445,Silent Stars,1,4,,,,,,,
wyiln,Player,B,17,0,1,2,0,2,1,6,16,5,12,0,0,445,Silent Stars,1,4,,,,,,,
chris,Player,A,42,1,0,5,0,2,0,16,17,10,11,0,0,445,Silent Stars,1,4,,,,,,,
JuTuff,Player,A-,11,3,5,3,3,2,1,4,6,3,5,0,0,445,Silent Stars,1,4,,,,,,,
Jekhz,Player,A,10,15,11,2,0,1,1,5,5,0,0,0,0,445,Silent Stars,1,4,,,,,,,
TOTAL,Team,A-,107,21,23,16,3,8,8,40,56,24,36,3,3,445,Silent Stars,1,4,,,,,,,
ImClem4Real,Player,B+,16,0,5,1,0,6,0,6,11,4,6,0,0,446,Flourish,0,4,,,,,,,
JMDHeisman,Player,A,37,3,7,0,0,1,1,13,18,9,11,2,2,446,Flourish,0,4,,,,,,,
JJGotTheJuice,Player,A,18,3,5,2,1,1,0,6,10,6,8,0,0,446,Flourish,0,4,,,,,,,
TGF4021,Player,B+,7,3,5,1,0,2,2,3,8,1,3,0,0,446,Flourish,0,4,,,,,,,
xzDOPExz,Player,B,10,8,3,0,0,1,5,5,7,0,0,0,0,446,Flourish,0,4,,,,,,,
TOTAL,Team,B+,88,17,25,4,1,11,8,33,54,20,28,2,2,446,Flourish,0,4,,,,,,,
xLifeofVo,Player,A+,40,0,13,2,0,3,3,11,16,11,14,7,7,446,Silent Stars,1,4,,,,,,,
wyiln,Player,A,32,0,4,0,0,0,1,11,15,10,13,0,0,446,Silent Stars,1,4,,,,,,,
chris,Player,B+,17,1,0,2,0,0,0,7,7,3,3,0,0,446,Silent Stars,1,4,,,,,,,
JuTuff,Player,B+,15,2,3,1,0,2,0,5,9,5,8,0,0,446,Silent Stars,1,4,,,,,,,
Jekhz,Player,B+,9,15,3,3,0,0,1,3,4,1,1,2,2,446,Silent Stars,1,4,,,,,,,
TOTAL,Team,A-,113,18,23,8,0,5,5,37,51,30,39,9,9,446,Silent Stars,1,4,,,,,,,
Hostile,Player,A-,24,1,8,0,0,2,1,9,15,6,9,0,0,447,Low Ego,0,4,,,,,,,
Hoggyy2k,Player,B+,17,0,3,0,0,2,1,6,9,3,6,2,2,447,Low Ego,0,4,,,,,,,
lMurka,Player,B,10,0,1,3,0,4,0,3,5,2,4,2,2,447,Low Ego,0,4,,,,,,,
EgoMyLane,Player,B+,8,2,4,3,0,3,0,3,6,2,5,0,0,447,Low Ego,0,4,,,,,,,
Temponeal,Player,B+,12,7,3,0,0,0,1,6,8,0,0,0,0,447,Low Ego,0,4,,,,,,,
TOTAL,Team,B+,71,10,19,6,0,11,3,27,43,13,24,4,4,447,Low Ego,0,4,,,,,,,
 Precision Kill,Player,A,38,0,11,0,0,0,2,13,16,9,11,3,3,447,No Morals,1,4,,,,,,,
ThaGap,Player,B+,16,0,4,0,0,1,1,6,8,4,5,0,0,447,No Morals,1,4,,,,,,,
K-O-B-E-2-K-🧊,Player,B-,5,0,0,2,0,1,0,2,2,1,1,0,0,447,No Morals,1,4,,,,,,,
Clawwzzy,Player,C+,5,1,0,1,0,4,1,2,3,1,1,0,0,447,No Morals,1,4,,,,,,,
Mxntay,Player,B+,12,11,1,0,0,3,3,5,6,0,0,2,2,447,No Morals,1,4,,,,,,,
TOTAL,Team,B,76,12,16,3,0,9,7,28,35,15,18,5,5,447,No Morals,1,4,,,,,,,
Hostile,Player,A,24,0,10,2,0,0,1,9,14,5,8,1,1,448,Low Ego,0,4,,,,,,,
Hoggyy2k,Player,A-,25,0,4,1,0,1,0,10,17,5,11,0,0,448,Low Ego,0,4,,,,,,,
Antywxn,Player,B+,9,0,2,2,0,2,0,4,5,1,2,0,0,448,Low Ego,0,4,,,,,,,
lMurka,Player,C,4,1,2,2,0,3,0,2,4,0,1,0,0,448,Low Ego,0,4,,,,,,,
Temponeal,Player,B+,14,10,1,1,0,4,2,7,9,0,1,0,0,448,Low Ego,0,4,,,,,,,
TOTAL,Team,B+,76,11,19,8,0,10,3,32,49,11,23,1,1,448,Low Ego,0,4,,,,,,,
 Precision Kill,Player,A+,30,0,12,1,0,0,5,9,12,7,10,5,5,448,No Morals,1,4,,,,,,,
ThaGap,Player,A-,25,0,1,0,0,1,1,9,11,7,8,0,0,448,No Morals,1,4,,,,,,,
K-O-B-E-2-K-🧊,Player,C,3,0,0,1,0,4,1,1,3,1,3,0,0,448,No Morals,1,4,,,,,,,
Clawwzzy,Player,C+,5,3,1,0,1,1,0,2,2,1,1,0,0,448,No Morals,1,4,,,,,,,
Mxntay,Player,B+,16,9,2,0,0,2,2,7,8,1,1,1,2,448,No Morals,1,4,,,,,,,
TOTAL,Team,B,79,12,16,2,1,8,9,28,36,17,23,6,7,448,No Morals,1,4,,,,,,,
xLifeofVo,Player,A+,31,2,15,4,0,0,3,11,13,9,10,0,0,449,Silent Stars,1,4,,,,,,,
wyiln,Player,A-,28,0,0,1,0,2,0,11,14,6,9,0,0,449,Silent Stars,1,4,,,,,,,
chris,Player,B,12,0,0,2,0,3,0,5,9,2,4,0,0,449,Silent Stars,1,4,,,,,,,
JuTuff,Player,B,17,1,0,1,0,3,0,7,11,3,7,0,0,449,Silent Stars,1,4,,,,,,,
Jekhz,Player,A,6,11,7,0,1,0,0,3,3,0,0,0,0,449,Silent Stars,1,4,,,,,,,
TOTAL,Team,A-,94,14,22,8,1,8,3,37,50,20,30,0,0,449,Silent Stars,1,4,,,,,,,
PROxM0NT,Player,A,29,1,12,1,0,1,6,11,14,7,10,0,0,449,Worst Nightmare,0,4,,,,,,,
Ease Up 5,Player,B+,18,0,3,0,0,3,2,7,11,2,5,2,2,449,Worst Nightmare,0,4,,,,,,,
llCert,Player,C+,8,0,1,0,0,2,0,3,4,2,3,0,0,449,Worst Nightmare,0,4,,,,,,,
Stacc It,Player,B-,8,1,2,1,0,1,0,3,7,2,4,0,0,449,Worst Nightmare,0,4,,,,,,,
llGeeLockedll,Player,A-,16,10,3,1,1,0,0,7,8,2,2,0,0,449,Worst Nightmare,0,4,,,,,,,
TOTAL,Team,B+,79,12,21,3,1,7,8,31,44,15,24,2,2,449,Worst Nightmare,0,4,,,,,,,
ISO864xRAW,Player,B,24,0,7,2,0,2,7,9,11,4,4,2,2,450,Shiesty U,0,4,,,,,,,
BluHawk92,Player,B+,20,0,7,2,0,5,4,8,13,4,9,0,0,450,Shiesty U,0,4,,,,,,,
RipXChucky,Player,B-,15,1,0,3,0,3,2,5,8,3,6,2,2,450,Shiesty U,0,4,,,,,,,
IITycoonII,Player,B+,11,2,2,2,1,0,1,4,5,3,4,0,0,450,Shiesty U,0,4,,,,,,,
KingSimbaTV,Player,B,7,7,4,0,0,0,3,3,7,1,4,0,0,450,Shiesty U,0,4,,,,,,,
TOTAL,Team,B,77,10,20,9,1,10,18,29,44,15,27,4,4,450,Shiesty U,0,4,,,,,,,
xLifeofVo,Player,A,29,1,7,2,0,1,3,12,17,4,7,1,1,450,Silent Stars,1,4,,,,,,,
wyiln,Player,B+,21,0,1,0,0,0,1,6,10,6,8,3,3,450,Silent Stars,1,4,,,,,,,
Jurhks,Player,A-,23,1,2,5,1,2,1,10,12,3,5,0,0,450,Silent Stars,1,4,,,,,,,
JuTuff,Player,B+,9,4,5,7,0,1,1,3,4,1,2,2,2,450,Silent Stars,1,4,,,,,,,
Jekhz,Player,A,13,10,10,1,0,1,4,6,7,1,1,0,0,450,Silent Stars,1,4,,,,,,,
TOTAL,Team,A-,95,16,25,15,1,5,11,37,50,15,23,6,6,450,Silent Stars,1,4,,,,,,,
ISO864xRAW,Player,A-,22,0,6,0,0,1,5,7,11,5,7,3,4,451,Shiesty U,0,4,,,,,,,
BluHawk92,Player,A-,30,0,2,0,0,0,4,11,11,7,7,1,1,451,Shiesty U,0,4,,,,,,,
RipXChucky,Player,B,11,0,0,2,0,0,1,4,6,3,4,0,0,451,Shiesty U,0,4,,,,,,,
IITycoonII,Player,B,4,7,4,1,0,0,3,2,5,0,2,0,0,451,Shiesty U,0,4,,,,,,,
KingSimbaTV,Player,A,7,12,8,0,0,1,0,3,6,1,3,0,0,451,Shiesty U,0,4,,,,,,,
TOTAL,Team,B+,74,19,20,3,0,2,13,27,39,16,23,4,5,451,Shiesty U,0,4,,,,,,,
xLifeofVo,Player,A+,35,3,6,2,0,0,2,13,25,9,19,0,0,451,Silent Stars,1,4,,,,,,,
wyiln,Player,C+,6,0,2,2,0,2,0,2,8,2,8,0,0,451,Silent Stars,1,4,,,,,,,
Jurhks,Player,B,17,0,0,2,1,3,0,7,10,3,4,0,0,451,Silent Stars,1,4,,,,,,,
JuTuff,Player,B,8,2,3,7,2,5,1,3,5,2,4,0,0,451,Silent Stars,1,4,,,,,,,
Jekhz,Player,A,15,11,9,0,0,1,1,7,8,1,1,0,0,451,Silent Stars,1,4,,,,,,,
TOTAL,Team,B+,81,16,20,13,3,11,4,32,56,17,36,0,0,451,Silent Stars,1,4,,,,,,,
 Precision Kill,Player,A+,64,0,6,1,0,0,1,23,29,17,22,1,1,452,No Morals,1,4,,,,,,,
ThaGap,Player,A,27,0,4,6,0,4,0,10,14,7,8,0,0,452,No Morals,1,4,,,,,,,
Lunatik,Player,B,5,1,4,1,0,1,0,2,3,1,2,0,0,452,No Morals,1,4,,,,,,,
LaneTendencies,Player,B-,6,5,2,0,1,4,1,2,3,2,3,0,0,452,No Morals,1,4,,,,,,,
Mxntay,Player,A,9,7,9,0,0,0,0,4,5,1,1,0,0,452,No Morals,1,4,,,,,,,
TOTAL,Team,A-,111,13,25,8,1,9,2,41,54,28,36,1,1,452,No Morals,1,4,,,,,,,
Call Your Icon,Player,A,25,0,10,0,0,0,2,9,18,7,12,0,0,452,Team Rocket,0,4,,,,,,,
Buzz My PF,Player,A-,34,0,7,1,0,2,5,14,16,6,7,0,0,452,Team Rocket,0,4,,,,,,,
WhatRBoards,Player,B-,11,0,1,1,0,0,1,4,5,3,4,0,0,452,Team Rocket,0,4,,,,,,,
GuardTTV,Player,A-,11,4,4,0,0,0,0,4,6,3,3,0,0,452,Team Rocket,0,4,,,,,,,
stayin low,Player,B+,6,10,3,0,0,0,0,3,5,0,1,0,0,452,Team Rocket,0,4,,,,,,,
TOTAL,Team,B+,87,14,25,2,0,2,8,34,50,19,27,0,0,452,Team Rocket,0,4,,,,,,,
 Precision Kill,Player,A-,29,0,8,1,0,0,1,11,19,7,14,0,0,453,No Morals,1,4,,,,,,,
ThaGap,Player,A-,36,0,1,1,0,1,1,13,19,10,15,0,0,453,No Morals,1,4,,,,,,,
Lunatik,Player,B-,10,1,3,3,0,4,0,5,6,0,0,0,0,453,No Morals,1,4,,,,,,,
LaneTendencies,Player,A-,16,6,2,4,2,2,0,7,9,2,3,0,0,453,No Morals,1,4,,,,,,,
Mxntay,Player,A-,4,16,11,0,0,1,2,2,3,0,0,0,0,453,No Morals,1,4,,,,,,,
TOTAL,Team,B+,95,23,25,9,2,8,4,38,56,19,32,0,0,453,No Morals,1,4,,,,,,,
Call Your Icon,Player,A-,29,3,6,1,0,1,4,9,16,6,11,5,5,453,Team Rocket,0,4,,,,,,,
Buzz My PF,Player,B,15,0,3,1,0,0,2,5,12,3,7,2,2,453,Team Rocket,0,4,,,,,,,
WhatRBoards,Player,C,7,1,1,0,0,1,0,3,4,1,2,0,0,453,Team Rocket,0,4,,,,,,,
LE Magiic,Player,B-,9,3,2,1,0,0,1,4,5,1,1,0,0,453,Team Rocket,0,4,,,,,,,
GuardTTV,Player,B,5,8,3,1,0,0,3,2,7,0,3,1,2,453,Team Rocket,0,4,,,,,,,
TOTAL,Team,B,65,15,15,4,0,2,10,23,44,11,24,8,9,453,Team Rocket,0,4,,,,,,,
ImClem4Real,Player,B-,20,1,7,1,0,0,7,8,13,3,7,1,2,454,Flourish,0,4,,,,,,,
invaIidxzx,Player,C+,8,0,4,1,0,1,1,2,5,2,4,2,2,454,Flourish,0,4,,,,,,,
JMDHeisman,Player,A-,25,0,4,0,0,1,0,9,16,5,10,2,2,454,Flourish,0,4,,,,,,,
TGF4021,Player,B+,9,5,2,1,2,0,0,4,6,1,3,0,0,454,Flourish,0,4,,,,,,,
xzDOPExz,Player,B+,12,8,3,1,0,1,2,6,9,0,0,0,0,454,Flourish,0,4,,,,,,,
TOTAL,Team,B,74,14,20,4,2,3,10,29,49,11,24,5,6,454,Flourish,0,4,,,,,,,
I GX HXM,Player,,0,0,0,0,0,0,0,0,0,0,0,0,0,454,Worst Nightmare,1,4,,,,,,,
PROxM0NT,Player,A+,35,1,10,3,0,0,1,12,17,11,16,0,0,454,Worst Nightmare,1,4,,,,,,,
Ease Up 5,Player,A+,34,0,11,2,0,1,2,11,15,8,12,4,4,454,Worst Nightmare,1,4,,,,,,,
llCert,Player,B+,16,1,2,2,0,2,2,6,8,4,4,0,0,454,Worst Nightmare,1,4,,,,,,,
LulNylo,Player,A,17,7,4,2,2,2,0,7,7,3,3,0,0,454,Worst Nightmare,1,4,,,,,,,
II HAM II,Player,B+,9,8,4,0,0,1,0,4,6,1,1,0,0,454,Worst Nightmare,1,4,,,,,,,
TOTAL,Team,A,111,17,31,9,2,6,5,40,53,27,36,4,4,454,Worst Nightmare,1,4,,,,,,,
IIl9ine,Player,A-,29,0,6,2,0,2,2,12,17,5,8,0,0,455,Beat The Odds,1,4,,,,,,,
Ice Near,Player,A,31,0,4,1,0,2,0,11,18,9,15,0,0,455,Beat The Odds,1,4,,,,,,,
Crunch tuff,Player,B+,8,1,2,2,0,2,0,3,5,0,1,2,2,455,Beat The Odds,1,4,,,,,,,
Sensei_Kevvv,Player,B,0,5,3,1,2,0,0,0,2,0,0,0,0,455,Beat The Odds,1,4,,,,,,,
Paint-Defender,Player,A,13,10,6,0,1,1,1,6,6,0,0,1,3,455,Beat The Odds,1,4,,,,,,,
TOTAL,Team,A-,81,16,21,6,3,7,4,32,48,14,24,3,5,455,Beat The Odds,1,4,,,,,,,
llAsapll,Player,A,8,0,1,1,0,1,1,10,17,5,10,0,0,455,Humble,0,4,,,,,,,
IIGinolI,Player,A-,25,1,1,0,0,1,1,8,9,2,2,0,0,455,Humble,0,4,,,,,,,
IGLiiZYI,Player,B+,18,0,4,1,0,0,2,5,6,3,3,0,0,455,Humble,0,4,,,,,,,
Prevhoked,Player,B,13,4,1,1,0,2,0,0,0,0,0,2,2,455,Humble,0,4,,,,,,,
X_KNXWN,Player,B,2,6,3,0,0,1,1,27,39,10,17,2,2,455,Humble,0,4,,,,,,,
TOTAL,Team,B+,66,11,25,3,1,4,8,27,39,10,17,2,2,455,Humble,0,4,,,,,,,
Hostile,Player,A-,20,1,7,1,0,0,5,7,11,4,7,2,2,456,Low Ego,1,4,,,,,,,
Hoggyy2k,Player,A-,20,0,4,2,1,2,1,8,12,2,6,2,2,456,Low Ego,1,4,,,,,,,
Lirkit,Player,B+,8,2,1,0,0,1,0,3,5,2,4,0,0,456,Low Ego,1,4,,,,,,,
